Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication *,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
allogeneic CRISPR/Cas9-mediated genetically modified CAR T cells targeting CD19 antigen,,2/16/21,Treatment of acute lymphoblastic leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,"CRISPR Therapeutics, Inc.",610 Main Street,,Cambridge,Massachusetts,2139,United States,799420
Aminouridyl phenoxypiperidinbenzyl butamide,,10/12/21,Treatment of Pancreatic Cancer,Designated,Not FDA Approved for Orphan Indication,,,,,Anviron Corporation,4 Trouville,,Newport Coast,California,92657,United States,840521
antibody drug conjugate comprised of an anti-B cell maturation (BCMA) IgG1 humanized antibody conjugated covalently to the dibenzocyclooctyne (DBCO) noncleavable linker maytansinoid warhead,,2/23/21,Treatment of multiple myeloma,Designated,Not FDA Approved for Orphan Indication,,,,,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,802520
apadamtase alfa,,9/28/20,Treatment of Sickle Cell Disease,Designated,Not FDA Approved for Orphan Indication,,,,,Baxalta US Inc.,300 Shire Way,,Lexington,Massachusetts,2421,United States,768720
ascorbic acid,,5/11/09,Treatment of Charcot-Marie-Tooth disease type 1A.,Designated,Not FDA Approved for Orphan Indication,,,,,Murigenetics SAS,Faculte de Medecine Timone,,13005 Marseille,,,France,280909
Bcl-2 Family Protein Inhibitor,,12/19/07,Treatment of small cell lung cancer,Designated,Not FDA Approved for Orphan Indication,,,,,AbbVie Inc.,1 North Waukegan Road,"Dept #PA72, Bldg. AP30-4",North Chicago,Illinois,60064,United States,251307
bosentan,Tracleer,10/6/00,Treatment of pulmonary arterial hypertension,Designated/Approved,,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability", 09/05/2017 , 09/05/2024 ,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,8002,United States,134200
bosentan,Tracleer,10/6/00,Treatment of pulmonary arterial hypertension,Designated/Approved,,Treatment of pulmonary arterial hypertension., 11/20/2001 , 11/20/2008 ,,Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,8002,United States,134200
budesonide,,12/20/06,Treatment of patients with eosinophilic esophagitis,Designated,Not FDA Approved for Orphan Indication,,,,,"Takeda Pharmaceuticals U.S.A., Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,227406
CDK inhibitor (CDKI) of CDK2/4/6,,3/3/21,"Treatment of patients with malignant gliomas (including glioblastoma, astrocytoma, and oligodendroglioma)",Designated,Not FDA Approved for Orphan Indication,,,,,"Nuvation Bio, Inc.","1500 Broadway, Suite 1401",,New York,New York,10036,United States,805820
DNA plasmid encoding the human transferrin gene,,9/25/20,Treatment of retinitis pigmentosa,Designated,Not FDA Approved for Orphan Indication,,,,,"Eyevensys, Inc.",185 Alewife Brook Parkway,Suite 210,Cambridge,Massachusetts,2138,United States,766920
Fc-fusion protein comprised of an anti-CXCR4 i-body tethered at its C-terminus to constant domains 2 and 3 of the Fc region of a mutated human IgG1,,2/22/21,Treatment of idiopathic pulmonary fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,AdAlta Limited,15/2 Park Drive,,Bundoora,Victoria,3083,Australia,800420
Gallium-68 DOTANOC,,4/1/20,Diagnostic for the management of neuroblastoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Advanced Imaging Projects, LLC",3651 FAU Blvd.,,Boca Raton,Florida,33467,United States,734120
half-life extended bispecific T cell engager (BiTE) antibody construct designed to target both CLDN18.2 and CD3,,7/31/20,"Treatment of gastric cancer, including cancer of gastroesophageal junction",Designated,Not FDA Approved for Orphan Indication,,,,,"Amgen, Inc.",One Amgen Center Drive,,Thousand Oaks,California,91320,United States,752720
highly selective histone deacetylase 6 inhibitor,,3/17/20,Treatment of Charcot-Marie-Tooth disease,Designated,Not FDA Approved for Orphan Indication,,,,,"Chong Kun Dang Pharmaceutical Co., Ltd.","8, Chungjeong-ro, Seodaemun-gu,",,Seoul,,,South Korea,728619
"N-[4-[[2-(1,1-Dimethylethyl)phenyl]sulfonyl]phenyl]-2,3,4-trihydroxy-5-[[2-(1-methylethyl)phenyl]methyl]benzamide",,9/14/20,Treatment of retinoblastoma,Designated,Not FDA Approved for Orphan Indication,,,,,Oxular Ltd,Magadalen Centre,1 Robert Robinson Avenue,Oxford,,OX4 4GA,United Kingdom,764020
nanatinostat and valganciclovir,,11/24/21,"Treatment of Epstein Barr Virus-positive diffuse large B-cell lymphoma, not otherwise specified (EBV+ DLBCL, NOS)",Designated,Not FDA Approved for Orphan Indication,,,,,"Viracta Subsidiary, Inc.",2533 S. Coast Hwy 101,Suite 210,Cardiff,California,92007,United States,847721
O-(2-[18F]fluoroethyl)-L-tyrosine,,10/5/20,Diagnostic for the management of glioma,Designated,Not FDA Approved for Orphan Indication,,,,,Telix Pharmaceuticals Limited (Telix),55 Flemington Road,Suite 401,North Melbourne,Victoria,3015,Australia,767920
oral protease inhibitor that binds to complement factor B and inhibits the C3- and C5 convertases of the alternative pathway,,7/31/20,Treatment of paroxysmal nocturnal hemoglobinuria,Designated,Not FDA Approved for Orphan Indication,,,,,Novartis Pharmaceuticals Corporation,One Health Plaza,Bldg. 315/5150A,East Hanover,New Jersey,7936,United States,751920
povidone iodine,,11/27/17,Treatment of endophthalmitis,Designated,Not FDA Approved for Orphan Indication,,,,,Veloce BioPharma LLC,7008 Lafayette Avenue,,Fort Washington,Pennsylvania,19034,United States,564916
recombinant serotype 9 adeno-associated virus encoding a codon-optimized human MECP2 gene,,10/7/20,Treatment for Rett syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,Taysha Gene Therapies,BioCenter at UT Southwestern,2280 Inwood Road,Dallas,Texas,75235,United States,770520
relatimab and nivolumab,,8/18/17,Treatment of stage IIb to IV melanoma,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Co.,5 Research Parkway,P.O. Box 5100,Wallingford,Connecticut,6492,United States,595017
S-nitrosoglutathione reductase inhibitor,,1/13/16,Treatment of cystic fibrosis,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Alpine Immune Sciences,201 Elliott Ave. West,Suite 230,Seattle,Washington,98119,United States,435714
single chain urokinase plasminogen activator,,9/11/14,Treatment of empyema (pleural),Designated,Not FDA Approved for Orphan Indication,,,,,"Lung Therapeutics, Inc.",P. O. Box 150183,,Austin,Texas,78715,United States,442514
small molecule inhibitor of human complement factor D.,,8/28/20,Treatment of paroxysmal nocturnal hemoglobinuria,Designated,Not FDA Approved for Orphan Indication,,,,,"BioCryst Pharmaceuticals, Inc.",4505 Emperor Blvd,Suite 200200,Durham,North Carolina,27703,United States,758220
Small molecule mitofusin allosteric activator,,9/4/20,Treatment of Charcot-Marie-Tooth Disease Type 2A,Designated,Not FDA Approved for Orphan Indication,,,,,"Mitochondria in Motion, Inc.",4340 Duncan Avenue,Suite 216,Saint Louis,Montana,63110,United States,760320
sparsentan,,1/11/21,Treatment of immunoglobulin A (IgA) nephropathy,Designated,Not FDA Approved for Orphan Indication,,,,,"Travere Therapeutics, Inc.","3611 Valley Centre Drive, Suite 300",,San Diego,California,92130,United States,614417
"((1r, 4r)-N1-(2-benzyl-7-(2-methyl-2H-tetrazol-5-yl)-9H-pyrimido[4,5-b]indol-4-yl)cyclohexane-1,4-diamine dihydrobromide dihydrate)-Expanded cord blood",,12/13/18,Prevention of Graft-versus-Host-Disease,Designated,Not FDA Approved for Orphan Indication,,,,,ExCellThera Inc.,2950 chemin de Polythechnique,,Montreal,,,Canada,661418
"((4-(3-benzyl-4-hydroxybenzyl)-3,5-dimethylphenoxy)methyl)phosphonic acid",,12/5/16,Treatment of X-linked adrenoleukodystrophy,Designated,Not FDA Approved for Orphan Indication,,,,,"Viking Therapeutics, Inc.",12340 El Camino Real,Suite 250,San Diego,California,92130,United States,494215
(+)-(2S)-2-(4-chloro-2-methoxyphenyl)-2-{[3-methoxy-5-(methylsulfonyl)phenyl]amino}-1-[5-(trifluoromethoxy)-1H-indol-3-yl]ethanone,,12/26/17,Treatment of dengue virus infection,Designated,Not FDA Approved for Orphan Indication,,,,,"Janssen Research & Development, LLC",125 Trenton-Harbourton Road,,Titusville,New Jersey,8560,United States,618217
(+)-5-chloro-1-ethyl-3-(2-hydroxy-3-methoxybenzyl)-2-oxoindolin-3-yl dimethylcarbamate,,3/16/21,Treatment of Retinitis Pigmentosa,Designated,Not FDA Approved for Orphan Indication,,,,,"MitoChem Therapeutics, Inc.",645 Meeting Street,,Charleston,South Carolina,29403,United States,806520
(+)-a-dihydrotetrabenazine,,3/30/17,Treatment pediatric patients with Tourette's syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Adeptio Pharmaceuticals, Ltd",22 Bedford Row,WC1R 4JS,London,,,United Kingdom,498715
(+)-alpha-dihydrotetrabenazine,,12/5/18,Treatment of Huntington's disease.,Designated,Not FDA Approved for Orphan Indication,,,,,"Adeptio Pharmaceuticals, Ltd",22 Bedford Row,WC1R 4JS,London,,,United Kingdom,607417
(+)-Epicatechin,,4/6/20,Treatment of Duchenne and Becker muscular dystrophy,Designated,Not FDA Approved for Orphan Indication,,,,,Epirium Bio Inc.,"9171 Towne Centre Dr.,",Suite 270,San Diego,California,92122,United States,732020
"(+/-)-7-[3-(4-acetyl-3-methoxy-2-propylphenoxy)propoxy]-3,4-dihydro-8-propyl-2H-1-benzopyran-2-carboxylic acid",,3/31/03,Prevention of serious adverse events associated with vascular leak syndrome caused by Interleukin-2 therapy,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Intarcia Therapeutics, Inc.",24650 Industrial Blvd,,Hayward,California,94545,United States,164102
"(+/-)-cis-3-(4-hydroxyphenyl)-4-(4-methoxyphenyl)-3,4-dihydro-2H-cromen-7-ol",,1/10/08,Treatment of cholangiocarcinoma,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Marshall Edwards, Inc.",11975 El Camino Real,Suite 101,San Diego,California,92130,United States,254407
"(+/-)-cis-3-(4-hydroxyphenyl)-4-(4-methoxyphenyl)-3,4-dihydro-2H-cromen-7-ol",,2/1/08,Treatment of Stage IIB through Stage IV malignant melanoma,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Marshall Edwards, Inc.",11975 El Camino Real,Suite 101,San Diego,California,92130,United States,252307
"(+/-)-cis-3-(4-hydroxyphenyl)-4-(4-methoxyphenyl)-3,4-dihydro-2H-cromen-7-ol",,1/10/08,Treatment of pancreatic cancer,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Marshall Edwards, Inc.",11975 El Camino Real,Suite 101,San Diego,California,92130,United States,251707
"(-)-(3aR,4S,7aR)-4-Hydroxy-4-m-tolylethynyl-octahydro-indole-1-carboxylic acid methyl ester",,10/12/11,Treatment of Fragile X syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,Novartis Pharmaceuticals Corp.,One Health Plaza,,East Hanover,New Jersey,7936,United States,353611
(-)-huperzine A,,6/15/20,Treatment of Lennox-Gastaut Syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,"Supernus Pharmaceuticals, Inc.",9715 Key West Avenue,,Rockville,Maryland,20850,United States,744420
"(1'R,6'R)-3-(Benzylamine)-6-hydroxy-3'-methyl-4-pentyl-6'-(prop-1-en-2-yl)-[1,1'-bi(cyclohexane)]-2',3,6-triene-2,5-dione",,7/6/17,Treatment of systemic scleroderma (SSc),Designated,Not FDA Approved for Orphan Indication,,,,,Emerald Health Pharmaceuticals Inc.,5820 Nancy Ridge Drive,,San Diego,California,92121,United States,585717
"(1,3)-߭D-glucan synthesis inhibitor",,8/22/16,Treatment of invasive Aspergillus infections,Designated,Not FDA Approved for Orphan Indication,,,,,"SCYNEXIS, Inc.","One Evertrust Plaza, 13th Floor",,Jersey City,New Jersey,7302,United States,531716
(1-hydroxy-2-oxopiperidin-3-yl)phosphonic acid,,8/9/18,Treatment of Glioblastoma,Designated,Not FDA Approved for Orphan Indication,,,,,The University of Texas MD Anderson Cancer Center,1515 Holcombe Blvd #2,,Houston,Texas,77030,United States,646218
"(1-methyl-2-nitro-1H-imidazole-5-yl)methyl N,N'-bis(2-broethyl) diamidophosphate",,6/5/13,Treatment of pancreatic cancer,Designated,Not FDA Approved for Orphan Indication,,,,,EMD Serono,One Technology Place,,Rockland,Massachusetts,2370,United States,396513
"(1-methyl-2-nitro-1H-imidazole-5-yl)methyl N,N'-bis(2-bromoethyl) diamidophosphate",,3/9/12,Treatment of soft tissue sarcoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Threshold Pharmaceuticals, Inc.",170 Harbor Way,Suite 300,South San Francisco,California,94080,United States,365812
"(1-{2-[(3S,4R)-1-[(3R,4R)-1-cyclopentyl-3-fluoro-4-(4-methoxyphenyl)pyrrolidine-3-carbonyl]-4-(methoxymethyl)pyrrolidin-3-yl]-5-(trifluoromethyl)phenyl}piperidine-4-caroxylic acid-phosphoric acid (1/1)",,6/8/20,treatment of cutaneous variants of porphyria (which includes treatment and prevention of cutaneous manifestations of disease),Designated,Not FDA Approved for Orphan Indication,,,,,"Mitsubishi Tanabe Pharma Development America, Inc.",525 Washington Blvd,Suite 400,Jersey City,New Jersey,7310,United States,645518
"(13E,14E,22R,6R)-35-fluoro-6-methyl-7-aza-1(5,3)-pyrazolo[1,5-a]pyrimidina-3(3,2)-pyridina-2(1,2)-pyrrolidinacyclooctaphan-8-one",,9/24/18,Treatment of solid tumors with neurotrophic tyrosine receptor kinase (NTRK)-fusion proteins,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Bayer Healthcare Pharmaceuticals, Inc.",100 Bayer Blvd.,,Whippany,New Jersey,7981,United States,651318
"(1E,6E)-1,7-Bis(3,4-dimethoxyphenyl)-4-cyclobutylmethyl-1,6-heptadiene-3,5-dione and [(1E,4Z,6E)-4-(cyclobutylmethyl)-1,7-bis(3,4-dimethoxyphenyl)-5-hydroxyhepta-1,4,6-trien-3-one]",,9/24/19,Treatment of spinocerebellar ataxia,Designated,Not FDA Approved for Orphan Indication,,,,,Allianz Pharmascience Limited,"7F-2, No. 77, Section 2, Duan Hua",,South Road,Taipei,,Taiwan,701819
"(1E,6E)-1,7-Bis(3,4-dimethoxyphenyl)-4-cyclobutylmethyl-1,6-heptadiene-3,5-dione and [(1E,4Z,6E)-4-(cyclobutylmethyl)-1,7-bis(3,4-dimethoxyphenyl)-5-hydroxyhepta-1,4,6-trien-3-one]",,8/23/19,Treatment of glioblastoma,Designated,Not FDA Approved for Orphan Indication,,,,,Allianz Pharmascience Limited,"7F-2, No. 77, Section 2, Duan Hua",,South Road,Taipei,,Taiwan,704319
"(1E,6E)-1,7-Bis(3,4-dimethoxyphenyl)-4-cyclobutylmethyl-1,6-heptadiene-3,5-dione OR [(1E,4Z,6E)-4-(cyclobutylmethyl)-1,7-bis(3,4-dimethoxyphenyl)-5-hydroxyhepta-1,4,6-trien-3-one]",,5/14/19,Treatment of Huntingtons Disease,Designated,Not FDA Approved for Orphan Indication,,,,,Allianz Pharmascience Ltd.,"7F-2, No. 77, Section 2, Duan Hua",,South Road,Taipei,,Taiwan,686419
"(1R,2R)-1,2-cyclohexane-diaminepyrophosphato-platinum(II)",,11/22/17,Treatment of multiple myeloma,Designated,Not FDA Approved for Orphan Indication,,,,,Phosplatin Therapeutics LLC,1350 6th Avenue,3rd Floor,New York,New York,10019,United States,613617
"(1R,2R)-1,2-cyclohexane-diaminepyrophosphato-platinum(II)",,10/25/18,Treatment of thymoma and thymic carcinoma,Designated,Not FDA Approved for Orphan Indication,,,,,Phosplatin Therapeutics LLC,1350 6th Avenue,3rd Floor,New York,New York,10019,United States,654818
"(1R,3R,4R,5S)-3-O-[2-O-benzoyl-3-O-(sodium(2S)-3-cyclohexyl-propanoate-",,2/17/09,Treatment of vaso-occlusive crisis in patients with sickle cell disease.,Designated,Not FDA Approved for Orphan Indication,,,,,"GlycoMimetics, Inc.",9708 Medical Center Drive,,Rockville,Maryland,20850,United States,274608
"(1R,3S,5R)-2-(2-(3-acetyl-5-(2-methylpyrimidin-5-yl)-1H-indazol-1-yl)acetyl)-N-(6-bromo-3-methylpyridin-2-yl)-5-methyl-2-azabicyclo[3.1.0]hexane-3-carboxamide",,2/8/21,Treatment of paroxysmal nocturnal hemoglobinuria,Designated,Not FDA Approved for Orphan Indication,,,,,Alexion Pharmaceuticals Inc.,121 Seaport Blvd,,Boston,Massachusetts,2210,United States,722519
"(1S)-1-(9-deazahypoxanthin-9-yl)-1,4-dideoxy-1,4-imino-D-ribitol-hydrochloride",,8/13/04,Treatment of acute lymphoblastic leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,Mundipharma Research Limited,Cambridge Science Park,Cambridge CB4 0GW,England,,,United Kingdom,190404
"(1S)-1-(9-deazahypoxanthin-9-yl)-1,4-dideoxy-1,4-imino-D-ribitol-hydrochloride",,8/10/04,"Treatment of chronic lymphocytic leukemia and related leukemias to include prolymphocytic leukemia, adult T-cell leukemia, and hairy cell leukemia",Designated,Not FDA Approved for Orphan Indication,,,,,Mundipharma Research Ltd.,Cambridge Science Park,,Cambridge CB4 0GW,,,United Kingdom,190504
"(1S)-1-(9-deazahypoxanthin-9-yl)-1,4-dideoxy-1,4-imino-D-ribitol-hydrochloride",,1/29/04,Treatment of T-cell non-Hodgkin's lymphoma,Designated,Not FDA Approved for Orphan Indication,,,,,Mundipharma Research Limited,Cambridge Science Park,Cambridge CB4 0GW,England,,,United Kingdom,172403
"(1S)-6-chloro-1,3,4,9-tetrahydro-1-(4-methoxyphenyl)-2H-pyrido[3,4-b]indole-2-carboxylic acid, 4-chlorophenyl ester",,1/27/20,Treatment of Acute myeloid leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,7080,United States,720919
"(1S, 2S, 3R, 4R)-3-(5-Fluoro-2-(3-methyl-4-(4-methylpiperazin-1-yl)-phenylamino)-pyrimidin-4-ylamino)bicycle[2.2.1]hept-5-ene-2-carboxamide benzoate",,1/19/10,Treatment of acute myeloid leukemia,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,2370,United States,299109
"(1S, 4R, 5R, 7S)-3, 4-dibenzyl-2-oxo-6, 8-dioxa- 3-azabyciclo [3.2.1] octane-7-carboxylic acid-L-lysine",,11/30/18,Treatment of Neurotrophic keratopathy,Designated,Not FDA Approved for Orphan Indication,,,,,"Recordati Rare Diseases, SARL","Immeuble le ""Wilson""",70 Avenue du General de Gaulle,Puteaux,,,France,662818
"(1S,15S,16R,17R,18S,19E,21E,23E,25E,27E,29E,31E)-33-(((2S,3S,4S,6R)-4-amino-3,5-dihydroxy-6-methyltetrahydro-2H-pyran-2-yl)oxy)-1,3,4,7,9,11,17,37-octahydroxy-15,16,18,36-tetramethyl-14,39-dioxabicyclo[33. 3.1] nonatriaconta-19,21,23,25,27,29,31-heptaen-1",,6/24/21,Treatment of invasive aspergillosis,Designated,Not FDA Approved for Orphan Indication,,,,,Biosergen AS,7092 Tiller,,Trondheim,,PB 217,Norway,803420
"(1S,3S)-3-((2-methyl-6-(1-methyl-5-(((methyl(propyl)carbamoyl)oxy)methyl)-1H-1,2,3-triazol-4-yl)pyridin-3-yl)oxy)cyclohexane-1-carboxylic acid",,12/17/18,Treatment of Idiopathic Pulmonary Fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Company,P.O. Box 4000,3551 Lawrenceville Road,Princeton,New Jersey,8540,United States,668018
"(1S,3S)-3-amino-4-(difluoromethylene)cyclopentanecarboxylic acid hydrochloride, (1S,3S)-3-amino-4-difluoromethylenyl-1-cyclopentanoic acid hydrochloride",,9/15/10,Treatment of infantile spasms,Designated,Not FDA Approved for Orphan Indication,,,,,"Catalyst Pharmaceuticals, Inc.",355 Alhambra Circle,Suite 1250,Coral Gables,Florida,33134,United States,300410
"(2'R,3'S)-2'-hydroxy-N-carboxy-3'-amino-5'-methyl-hexanoic,N-tert-butyl ester, 13 ester 5B-20-epoxy-1B,2a,4a,7B,9a,10a,13a-heptahydroxy-4,10-diacetate-2-benzoate-(1""S)-7,9-acrolein acetal-11(15-1)-abeotaxane",,6/23/14,Treatment of progressive supranuclear palsy,Designated,Not FDA Approved for Orphan Indication,,,,,"Cortice Biosciences, Inc.",1345 Avenue of the Americas,42nd Floor,New York,New York,10105,United States,436014
"(2,2-diphenyl-tetrahydro-furan-3-yl-methyl)-dimethylamine hydrochloride",,5/18/16,Treatment of Rett Syndrome.,Designated,Not FDA Approved for Orphan Indication,,,,,Anavex Life Sciences Corporation,51 West 52nd Street,7th Floor,New York,New York,10019,United States,520816
(2-((2-chlorophenyl)(phenyl)amino)-N-(7-(hydroxyamino)-7-oxoheptyl)pyrimidine-5-carboxamide),,11/29/16,Treatment of multiple myeloma,Designated,Not FDA Approved for Orphan Indication,,,,,"Acetylon Pharmaceuticals, Inc.",(Celgene Subsidiary),86 Morris Avenue,Summit,New Jersey,7901,United States,544316
"(2-(2-chlorophenyl)-4-[3-(dimethylamino)phenyl]-5-methyl-1h-pyrazolo [4,3-c] pyridine-3,6(2h,5h)-dione)",,10/14/15,Treatment of systemic sclerosis.,Designated,Not FDA Approved for Orphan Indication,,,,,Genkyotex Innovation SAS,18 Avenue Marie Curie,,Archamps,Rh__Alpes,,France,493115
(20S)-7-tert-butyldimethysilyl-10-hydroxycamptothecin,,7/13/17,Treatment of glioblastoma multiforme (GBM),Designated,Not FDA Approved for Orphan Indication,,,,,"Vivacitas Oncology, Inc.",1990 North California Boulevard,8th Floor,Walnut Creek,California,94596,United States,586917
"(2R,3R,4S)-2-(2-chloro-6-(3-chlorobenzylamino)-9H-purin-9-yl)tetrahydrothiophene-3,4-diol",,2/1/21,Treatment of Primary Biliary Cholangitis,Designated,Not FDA Approved for Orphan Indication,,,,,"Future Medicine Co., Ltd.","Rm616, LH Business Growth Center, 54 Changeop-ro, Sujeong-gu",,Seongnam,Gyeonggi-do,,South Korea,796620
"(2R,3S)-2-(3-(4,5-dichloro-1H-benzo[d]imidazol-1-yl)propyl)piperidin-3-ol hydrogen chloride",,5/20/21,Treatment of systemic sclerosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Daewoong Pharmaceutical Co., Ltd.","12, Bongeunsa-ro 114 gil, Gangnam-gu",,Seoul,,137-715,South Korea,817121
"(2R,3S)-2-(3-(4,5-dichloro-1H-benzo[d]imidazol-1-yl)propyl)piperidin-3-ol Hydrogen Chloride",,8/5/19,Treatment of idiopathic pulmonary fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Daewoong Pharmaceutical Co., Ltd.","12, Bongeunsa-ro 114 gil",Gangnam-gu,Seoul,Korea,,South Korea,701419
"(2R,4R)-1-(3-chloro-2-fluorobenzyl)-4-((3-fluoro-6-((5-methyl-1H-pyrazol-3-yl)amino)pyridin-2-yl)methyl)-2-methylpiperidine-4-carboxylic acid; 2- methylpropan-2-amine",,1/29/20,Treatment of Neuroblastoma,Designated,Not FDA Approved for Orphan Indication,,,,,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,Indiana,46285,United States,724119
