_id,pubchem_cid,pubchem_sid,inchikey,generic_name,trade_name,orphan_designation,umls,parsed_text,designated_date,designation_status,approval_status,approved_labeled_indication,marketing_approval_date,exclusivity_end_date,exclusivity_protected_indication,sponsor
UMLS:C0011854,,440790639,,abatacept,,Treatment of type 1 diabetes mellitus patients with residual beta cell function,C0011854,Type 1 diabetes mellitus,05/30/2013,Designated,Not FDA Approved for Orphan Indication,,,,,Orban Biotech LLC|64 Aspinwall Avenue|Brookline|Massachusetts|2446|United States
UMLS:C0011854,,386474197,,abatacept,,Treatment of type 1 diabetes mellitus patients with residual beta cell function,C0011854,Type 1 diabetes mellitus,05/30/2013,Designated,Not FDA Approved for Orphan Indication,,,,,Orban Biotech LLC|64 Aspinwall Avenue|Brookline|Massachusetts|2446|United States
UMLS:C0011854,,386467149,,abatacept,,Treatment of type 1 diabetes mellitus patients with residual beta cell function,C0011854,Type 1 diabetes mellitus,05/30/2013,Designated,Not FDA Approved for Orphan Indication,,,,,Orban Biotech LLC|64 Aspinwall Avenue|Brookline|Massachusetts|2446|United States
UMLS:C0011854,,178103473,,abatacept,,Treatment of type 1 diabetes mellitus patients with residual beta cell function,C0011854,Type 1 diabetes mellitus,05/30/2013,Designated,Not FDA Approved for Orphan Indication,,,,,Orban Biotech LLC|64 Aspinwall Avenue|Brookline|Massachusetts|2446|United States
UMLS:C0011854,,135355129,,abatacept,,Treatment of type 1 diabetes mellitus patients with residual beta cell function,C0011854,Type 1 diabetes mellitus,05/30/2013,Designated,Not FDA Approved for Orphan Indication,,,,,Orban Biotech LLC|64 Aspinwall Avenue|Brookline|Massachusetts|2446|United States
UMLS:C0011854,,103771521,,abatacept,,Treatment of type 1 diabetes mellitus patients with residual beta cell function,C0011854,Type 1 diabetes mellitus,05/30/2013,Designated,Not FDA Approved for Orphan Indication,,,,,Orban Biotech LLC|64 Aspinwall Avenue|Brookline|Massachusetts|2446|United States
UMLS:C0011854,,50070209,,abatacept,,Treatment of type 1 diabetes mellitus patients with residual beta cell function,C0011854,Type 1 diabetes mellitus,05/30/2013,Designated,Not FDA Approved for Orphan Indication,,,,,Orban Biotech LLC|64 Aspinwall Avenue|Brookline|Massachusetts|2446|United States
UMLS:C0011854,,46509198,,abatacept,,Treatment of type 1 diabetes mellitus patients with residual beta cell function,C0011854,Type 1 diabetes mellitus,05/30/2013,Designated,Not FDA Approved for Orphan Indication,,,,,Orban Biotech LLC|64 Aspinwall Avenue|Brookline|Massachusetts|2446|United States
UMLS:C0018133,,441072535,,abatacept,,Prevention of Graft versus Host Disease,C0018133,GRAFT VERSUS HOST DISEASE,12/26/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Co.|P. O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0018133,,440790639,,abatacept,,Prevention of Graft versus Host Disease,C0018133,GRAFT VERSUS HOST DISEASE,12/26/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Co.|P. O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0018133,,386474197,,abatacept,,Prevention of Graft versus Host Disease,C0018133,GRAFT VERSUS HOST DISEASE,12/26/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Co.|P. O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0018133,,386467149,,abatacept,,Prevention of Graft versus Host Disease,C0018133,GRAFT VERSUS HOST DISEASE,12/26/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Co.|P. O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0018133,,178103473,,abatacept,,Prevention of Graft versus Host Disease,C0018133,GRAFT VERSUS HOST DISEASE,12/26/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Co.|P. O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0018133,,135355129,,abatacept,,Prevention of Graft versus Host Disease,C0018133,GRAFT VERSUS HOST DISEASE,12/26/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Co.|P. O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0018133,,103771521,,abatacept,,Prevention of Graft versus Host Disease,C0018133,GRAFT VERSUS HOST DISEASE,12/26/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Co.|P. O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0018133,,50070209,,abatacept,,Prevention of Graft versus Host Disease,C0018133,GRAFT VERSUS HOST DISEASE,12/26/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Co.|P. O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0018133,,46509198,,abatacept,,Prevention of Graft versus Host Disease,C0018133,GRAFT VERSUS HOST DISEASE,12/26/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Co.|P. O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0039483,,441072535,,Abatacept,,Treatment of giant cell arteritis,C0039483,Giant Cell Arteritis,02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0039483,,440790639,,Abatacept,,Treatment of giant cell arteritis,C0039483,Giant Cell Arteritis,02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0039483,,386474197,,Abatacept,,Treatment of giant cell arteritis,C0039483,Giant Cell Arteritis,02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0039483,,386467149,,Abatacept,,Treatment of giant cell arteritis,C0039483,Giant Cell Arteritis,02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0039483,,178103473,,Abatacept,,Treatment of giant cell arteritis,C0039483,Giant Cell Arteritis,02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0039483,,135355129,,Abatacept,,Treatment of giant cell arteritis,C0039483,Giant Cell Arteritis,02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0039483,,103771521,,Abatacept,,Treatment of giant cell arteritis,C0039483,Giant Cell Arteritis,02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0039483,,50070209,,Abatacept,,Treatment of giant cell arteritis,C0039483,Giant Cell Arteritis,02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0039483,,46509198,,Abatacept,,Treatment of giant cell arteritis,C0039483,Giant Cell Arteritis,02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0751356,,441072535,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C3888318,,441072535,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0751356,,440790639,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C3888318,,440790639,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0751356,,386474197,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C3888318,,386474197,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0751356,,386467149,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C3888318,,386467149,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0751356,,178103473,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C3888318,,178103473,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0751356,,135355129,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C3888318,,135355129,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0751356,,103771521,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C3888318,,103771521,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0751356,,50070209,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C3888318,,50070209,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0751356,,46509198,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C3888318,,46509198,,abatacept,,Treatment of idiopathic inflammatory myopathy (IIM),"C0751356,C3888318","idiopathic inflammatory myopathy , IIM",02/22/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb Research & Development|Marketed Products Development - Regulatory Strategy|P.O. Box 5326|Princeton|New Jersey|8543|United States
UMLS:C0024143,,404770371,,Abetimus,,Treatment of lupus nephritis.,C0024143,Lupus Nephritis,07/28/2000,Designated,Not FDA Approved for Orphan Indication,,,,,La Jolla Pharmaceutical Co.|6455 Nancy Ridge Dr.|San Diego|California|92121|United States
UMLS:C0024143,,160687556,,Abetimus,,Treatment of lupus nephritis.,C0024143,Lupus Nephritis,07/28/2000,Designated,Not FDA Approved for Orphan Indication,,,,,La Jolla Pharmaceutical Co.|6455 Nancy Ridge Dr.|San Diego|California|92121|United States
UMLS:C0024143,,135325229,,Abetimus,,Treatment of lupus nephritis.,C0024143,Lupus Nephritis,07/28/2000,Designated,Not FDA Approved for Orphan Indication,,,,,La Jolla Pharmaceutical Co.|6455 Nancy Ridge Dr.|San Diego|California|92121|United States
UMLS:C3495559,,441072525,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C3495559,,440790468,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C3495559,,387061214,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C3495559,,385327551,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C3495559,,384647094,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C3495559,,354355035,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C3495559,,329976965,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C3495559,,178101561,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C3495559,,135335742,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C3495559,,103771314,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C3495559,,50070208,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C3495559,,46504982,,adalimumab,Humira,Treatment of juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,03/21/2005,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older., 09/30/2014 , 09/30/2021 ,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.|1 North Waukegan Road|Bldg. AP-30|North Chicago|Illinois|60064|United States
UMLS:C0009324,,441072525,,adalimumab,Humira,Treatment of pediatric patients with ulcerative colitis,C0009324,Ulcerative Colitis,05/11/2011,Designated/Approved,,treatment of moderately to severely active ulcerative colitis in pediatric patients 5 years of age and older, 02/24/2021 ,,,"AbbVie, Inc.|1 North Waukegan Rd|Dept PA72; Bldg AP30-4|North Chicago|Illinois|60064|United States"
