_id,pubchem_cid,pubchem_sid,inchi_key,generic_name,trade_name,orphan_designation,umls,parsed_text,designated_date,designation_status,approval_status,approved_labeled_indication,marketing_approval_date,exclusivity_end_date,exclusivity_protected_indication,sponsor
PFTAWBLQPZVEMU-ZFWWWQNUSA-N,182232,"11916, 611229, 103359466, 104025594, 135160710, 171572012, 274886242, 312232849, 319189673, 319884313, 322078602, 341194549, 378134545, 385679100, 386515665, 404760250, 415867362, 438792813, 439433489, 99233487, 254756175, 254791380, 348292973, 375666764, 441078034",PFTAWBLQPZVEMU-ZFWWWQNUSA-N,(+)-Epicatechin,,Treatment of Duchenne and Becker muscular dystrophy,C3542021,Duchenne and Becker Muscular Dystrophy,04/06/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"Epirium Bio Inc.|9171 Towne Centre Dr.,|Suite 270|San Diego|California|92122|United States"
ZFPZEYHRWGMJCV-ZHALLVOQSA-N,9926832,223933254,ZFPZEYHRWGMJCV-ZHALLVOQSA-N,"(-)-(3aR,4S,7aR)-4-Hydroxy-4-m-tolylethynyl-octahydro-indole-1-carboxylic acid methyl ester",,Treatment of Fragile X syndrome,C0016667,Fragile X Syndrome,10/12/2011,Designated,Not FDA Approved for Orphan Indication,,,,,Novartis Pharmaceuticals Corp.|One Health Plaza|East Hanover|New Jersey|7936|United States
ZRJBHWIHUMBLCN-MEBBXXQBSA-N,6565233,"12013888, 26712283, 135066307, 144205156, 144241857, 170466837, 175426873, 223377925, 223443687, 255410807, 268735951, 273525751, 274950995, 312693343, 315681636, 354269138, 366185984, 376227701, 381334645, 385786939, 386268902, 386623985, 419489831, 433779610, 53788519, 76368834, 76368838, 92719357, 126620877, 126649006, 126670870, 144089130, 172080541, 196110136, 251911971, 251915047, 252403081, 319223736, 319244939, 319245064, 341833082, 355044179, 376040738, 381418203, 387186235, 406831387, 433982485, 438505391, 440065877, 46511057, 76368830, 76368831, 76368832, 319061070, 319310779, 340472066, 349981139, 355039776, 355169246, 382154155, 386972952, 404763614, 406849439, 46386885, 162184353, 252453707, 387060756, 419546067, 438472191, 46511199, 49991755, 123084851, 131345537, 318168154, 341148955, 348019783, 377015670, 434296222, 438459888, 92717596, 126622140, 126653793, 196112316, 426272357, 163383503, 319408947, 404766345, 76368833, 76368837, 341853541, 76368835, 76368836, 123059722, 252110218, 319391156, 319406963, 322085251, 342578660, 375682276, 382408085, 385977750",ZRJBHWIHUMBLCN-MEBBXXQBSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,06/15/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"Supernus Pharmaceuticals, Inc.|9715 Key West Avenue|Rockville|Maryland|20850|United States"
ZRJBHWIHUMBLCN-QDEBKDIKSA-N,5912039,"12013888, 26712283, 135066307, 144205156, 144241857, 170466837, 175426873, 223377925, 223443687, 255410807, 268735951, 273525751, 274950995, 312693343, 315681636, 354269138, 366185984, 376227701, 381334645, 385786939, 386268902, 386623985, 419489831, 433779610, 53788519, 76368834, 76368838, 92719357, 126620877, 126649006, 126670870, 144089130, 172080541, 196110136, 251911971, 251915047, 252403081, 319223736, 319244939, 319245064, 341833082, 355044179, 376040738, 381418203, 387186235, 406831387, 433982485, 438505391, 440065877, 46511057, 76368830, 76368831, 76368832, 319061070, 319310779, 340472066, 349981139, 355039776, 355169246, 382154155, 386972952, 404763614, 406849439, 46386885, 162184353, 252453707, 387060756, 419546067, 438472191, 46511199, 49991755, 123084851, 131345537, 318168154, 341148955, 348019783, 377015670, 434296222, 438459888, 92717596, 126622140, 126653793, 196112316, 426272357, 163383503, 319408947, 404766345, 76368833, 76368837, 341853541, 76368835, 76368836, 123059722, 252110218, 319391156, 319406963, 322085251, 342578660, 375682276, 382408085, 385977750",ZRJBHWIHUMBLCN-QDEBKDIKSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,06/15/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"Supernus Pharmaceuticals, Inc.|9715 Key West Avenue|Rockville|Maryland|20850|United States"
ZRJBHWIHUMBLCN-HNWKQCISSA-N,71308731,"12013888, 26712283, 135066307, 144205156, 144241857, 170466837, 175426873, 223377925, 223443687, 255410807, 268735951, 273525751, 274950995, 312693343, 315681636, 354269138, 366185984, 376227701, 381334645, 385786939, 386268902, 386623985, 419489831, 433779610, 53788519, 76368834, 76368838, 92719357, 126620877, 126649006, 126670870, 144089130, 172080541, 196110136, 251911971, 251915047, 252403081, 319223736, 319244939, 319245064, 341833082, 355044179, 376040738, 381418203, 387186235, 406831387, 433982485, 438505391, 440065877, 46511057, 76368830, 76368831, 76368832, 319061070, 319310779, 340472066, 349981139, 355039776, 355169246, 382154155, 386972952, 404763614, 406849439, 46386885, 162184353, 252453707, 387060756, 419546067, 438472191, 46511199, 49991755, 123084851, 131345537, 318168154, 341148955, 348019783, 377015670, 434296222, 438459888, 92717596, 126622140, 126653793, 196112316, 426272357, 163383503, 319408947, 404766345, 76368833, 76368837, 341853541, 76368835, 76368836, 123059722, 252110218, 319391156, 319406963, 322085251, 342578660, 375682276, 382408085, 385977750",ZRJBHWIHUMBLCN-HNWKQCISSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,06/15/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"Supernus Pharmaceuticals, Inc.|9715 Key West Avenue|Rockville|Maryland|20850|United States"
ZRJBHWIHUMBLCN-JYXJEATCSA-N,44461111,"12013888, 26712283, 135066307, 144205156, 144241857, 170466837, 175426873, 223377925, 223443687, 255410807, 268735951, 273525751, 274950995, 312693343, 315681636, 354269138, 366185984, 376227701, 381334645, 385786939, 386268902, 386623985, 419489831, 433779610, 53788519, 76368834, 76368838, 92719357, 126620877, 126649006, 126670870, 144089130, 172080541, 196110136, 251911971, 251915047, 252403081, 319223736, 319244939, 319245064, 341833082, 355044179, 376040738, 381418203, 387186235, 406831387, 433982485, 438505391, 440065877, 46511057, 76368830, 76368831, 76368832, 319061070, 319310779, 340472066, 349981139, 355039776, 355169246, 382154155, 386972952, 404763614, 406849439, 46386885, 162184353, 252453707, 387060756, 419546067, 438472191, 46511199, 49991755, 123084851, 131345537, 318168154, 341148955, 348019783, 377015670, 434296222, 438459888, 92717596, 126622140, 126653793, 196112316, 426272357, 163383503, 319408947, 404766345, 76368833, 76368837, 341853541, 76368835, 76368836, 123059722, 252110218, 319391156, 319406963, 322085251, 342578660, 375682276, 382408085, 385977750",ZRJBHWIHUMBLCN-JYXJEATCSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,06/15/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"Supernus Pharmaceuticals, Inc.|9715 Key West Avenue|Rockville|Maryland|20850|United States"
ZRJBHWIHUMBLCN-UHFFFAOYSA-N,1253,"12013888, 26712283, 135066307, 144205156, 144241857, 170466837, 175426873, 223377925, 223443687, 255410807, 268735951, 273525751, 274950995, 312693343, 315681636, 354269138, 366185984, 376227701, 381334645, 385786939, 386268902, 386623985, 419489831, 433779610, 53788519, 76368834, 76368838, 92719357, 126620877, 126649006, 126670870, 144089130, 172080541, 196110136, 251911971, 251915047, 252403081, 319223736, 319244939, 319245064, 341833082, 355044179, 376040738, 381418203, 387186235, 406831387, 433982485, 438505391, 440065877, 46511057, 76368830, 76368831, 76368832, 319061070, 319310779, 340472066, 349981139, 355039776, 355169246, 382154155, 386972952, 404763614, 406849439, 46386885, 162184353, 252453707, 387060756, 419546067, 438472191, 46511199, 49991755, 123084851, 131345537, 318168154, 341148955, 348019783, 377015670, 434296222, 438459888, 92717596, 126622140, 126653793, 196112316, 426272357, 163383503, 319408947, 404766345, 76368833, 76368837, 341853541, 76368835, 76368836, 123059722, 252110218, 319391156, 319406963, 322085251, 342578660, 375682276, 382408085, 385977750",ZRJBHWIHUMBLCN-UHFFFAOYSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,06/15/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"Supernus Pharmaceuticals, Inc.|9715 Key West Avenue|Rockville|Maryland|20850|United States"
ZRJBHWIHUMBLCN-YQEJDHNASA-N,854026,"12013888, 26712283, 135066307, 144205156, 144241857, 170466837, 175426873, 223377925, 223443687, 255410807, 268735951, 273525751, 274950995, 312693343, 315681636, 354269138, 366185984, 376227701, 381334645, 385786939, 386268902, 386623985, 419489831, 433779610, 53788519, 76368834, 76368838, 92719357, 126620877, 126649006, 126670870, 144089130, 172080541, 196110136, 251911971, 251915047, 252403081, 319223736, 319244939, 319245064, 341833082, 355044179, 376040738, 381418203, 387186235, 406831387, 433982485, 438505391, 440065877, 46511057, 76368830, 76368831, 76368832, 319061070, 319310779, 340472066, 349981139, 355039776, 355169246, 382154155, 386972952, 404763614, 406849439, 46386885, 162184353, 252453707, 387060756, 419546067, 438472191, 46511199, 49991755, 123084851, 131345537, 318168154, 341148955, 348019783, 377015670, 434296222, 438459888, 92717596, 126622140, 126653793, 196112316, 426272357, 163383503, 319408947, 404766345, 76368833, 76368837, 341853541, 76368835, 76368836, 123059722, 252110218, 319391156, 319406963, 322085251, 342578660, 375682276, 382408085, 385977750",ZRJBHWIHUMBLCN-YQEJDHNASA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,06/15/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"Supernus Pharmaceuticals, Inc.|9715 Key West Avenue|Rockville|Maryland|20850|United States"
ZRJBHWIHUMBLCN-ZUZCIYMTSA-N,449069,"12013888, 26712283, 135066307, 144205156, 144241857, 170466837, 175426873, 223377925, 223443687, 255410807, 268735951, 273525751, 274950995, 312693343, 315681636, 354269138, 366185984, 376227701, 381334645, 385786939, 386268902, 386623985, 419489831, 433779610, 53788519, 76368834, 76368838, 92719357, 126620877, 126649006, 126670870, 144089130, 172080541, 196110136, 251911971, 251915047, 252403081, 319223736, 319244939, 319245064, 341833082, 355044179, 376040738, 381418203, 387186235, 406831387, 433982485, 438505391, 440065877, 46511057, 76368830, 76368831, 76368832, 319061070, 319310779, 340472066, 349981139, 355039776, 355169246, 382154155, 386972952, 404763614, 406849439, 46386885, 162184353, 252453707, 387060756, 419546067, 438472191, 46511199, 49991755, 123084851, 131345537, 318168154, 341148955, 348019783, 377015670, 434296222, 438459888, 92717596, 126622140, 126653793, 196112316, 426272357, 163383503, 319408947, 404766345, 76368833, 76368837, 341853541, 76368835, 76368836, 123059722, 252110218, 319391156, 319406963, 322085251, 342578660, 375682276, 382408085, 385977750",ZRJBHWIHUMBLCN-ZUZCIYMTSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,06/15/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"Supernus Pharmaceuticals, Inc.|9715 Key West Avenue|Rockville|Maryland|20850|United States"
ZRJBHWIHUMBLCN-SEQYCRGISA-N,907504,"12013888, 26712283, 135066307, 144205156, 144241857, 170466837, 175426873, 223377925, 223443687, 255410807, 268735951, 273525751, 274950995, 312693343, 315681636, 354269138, 366185984, 376227701, 381334645, 385786939, 386268902, 386623985, 419489831, 433779610, 53788519, 76368834, 76368838, 92719357, 126620877, 126649006, 126670870, 144089130, 172080541, 196110136, 251911971, 251915047, 252403081, 319223736, 319244939, 319245064, 341833082, 355044179, 376040738, 381418203, 387186235, 406831387, 433982485, 438505391, 440065877, 46511057, 76368830, 76368831, 76368832, 319061070, 319310779, 340472066, 349981139, 355039776, 355169246, 382154155, 386972952, 404763614, 406849439, 46386885, 162184353, 252453707, 387060756, 419546067, 438472191, 46511199, 49991755, 123084851, 131345537, 318168154, 341148955, 348019783, 377015670, 434296222, 438459888, 92717596, 126622140, 126653793, 196112316, 426272357, 163383503, 319408947, 404766345, 76368833, 76368837, 341853541, 76368835, 76368836, 123059722, 252110218, 319391156, 319406963, 322085251, 342578660, 375682276, 382408085, 385977750",ZRJBHWIHUMBLCN-SEQYCRGISA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,06/15/2020,Designated,Not FDA Approved for Orphan Indication,,,,,"Supernus Pharmaceuticals, Inc.|9715 Key West Avenue|Rockville|Maryland|20850|United States"
DVZQUMSQEGOYMX-UHFFFAOYSA-N,122540907,381608661,DVZQUMSQEGOYMX-UHFFFAOYSA-N,(1-hydroxy-2-oxopiperidin-3-yl)phosphonic acid,,Treatment of Glioblastoma,C0017636,Glioblastoma,08/09/2018,Designated,Not FDA Approved for Orphan Indication,,,,,The University of Texas MD Anderson Cancer Center|1515 Holcombe Blvd #2|Houston|Texas|77030|United States
OEBIHOVSAMBXIB-SJKOYZFVSA-N,129103609,"376162835, 434310738, 438489570",OEBIHOVSAMBXIB-SJKOYZFVSA-N,"(13E,14E,22R,6R)-35-fluoro-6-methyl-7-aza-1(5,3)-pyrazolo[1,5-a]pyrimidina-3(3,2)-pyridina-2(1,2)-pyrrolidinacyclooctaphan-8-one",,Treatment of solid tumors with neurotrophic tyrosine receptor kinase (NTRK)-fusion proteins,C0280100,solid tumors,09/24/2018,Designated,Not FDA Approved for Orphan Indication,,,,,"Bayer Healthcare Pharmaceuticals, Inc.|100 Bayer Blvd.|Whippany|New Jersey|7981|United States"
JQUBXCDDRXAMLF-IXPVHAAZSA-N,16735504,"104089798, 341694082",JQUBXCDDRXAMLF-IXPVHAAZSA-N,"(2R,3R,4S)-2-(2-chloro-6-(3-chlorobenzylamino)-9H-purin-9-yl)tetrahydrothiophene-3,4-diol",,Treatment of Primary Biliary Cholangitis,C0008312,Primary Biliary Cholangitis,02/01/2021,Designated,Not FDA Approved for Orphan Indication,,,,,"Future Medicine Co., Ltd.|Rm616, LH Business Growth Center, 54 Changeop-ro, Sujeong-gu|Seongnam|Gyeonggi-do|South Korea"
UFPFGVNKHCLJJO-SSKFGXFMSA-N,24737642,"252472259, 253658848, 347713845, 414660012, 441002754, 276006172",UFPFGVNKHCLJJO-SSKFGXFMSA-N,"(2S)-N-[(1S)-1-cyclohexyl-2-[(2S)-2-[4-(4-fluorobenzoyl)-1,3-thiazol-2-yl]pyrrolidin-1-yl]-2-oxoethyl]-2-(methylamino)propanamide",,Treatment of multiple myeloma,C0026764,Multiple Myeloma,06/28/2017,Designated,Not FDA Approved for Orphan Indication,,,,,"Paul Maher, MD|10644 Weymouth Street|Suite 104|Bethesda|Maryland|20814|United States"
HCZQIIVHWYFIPW-UKKRHICBSA-N,9859470,"421421237, 434311429, 438489945",HCZQIIVHWYFIPW-UKKRHICBSA-N,"(2S,3R,4R,5S)-2-(hydroxymethyl)-1-pentylpiperidine-3,4,5-triol",,Treatment of GM2 gangliosidosis,C0268274,GM2 Gangliosidosis,08/01/2019,Designated,Not FDA Approved for Orphan Indication,,,,,Idorsia Pharmaceuticals Ltd|91 Hegenheimermattweg|Allschwil|Basel-Landschaft|Switzerland
PIBARDGJJAGJAJ-NQIIRXRSSA-N,118323590,"381128152, 439581800",PIBARDGJJAGJAJ-NQIIRXRSSA-N,"(2S,4R)-1-(2-(3-acetyl-5-(2-methylpyrimidin-5-yl)-1H-indazol-1-yl)acetyl)-N-(6-bromopyridin-2-yl)-4-fluoropyrrolidine-2-carboxamide",,Treatment of C3 glomerulopathy (C3G),C4521256,Glomerulopathy,12/14/2017,Designated,Not FDA Approved for Orphan Indication,,,,,"Alexion Pharmaceuticals, Inc|300 George Street|New Haven|Connecticut|6511|United States"
PDWGVXJIDIRQME-DCNFBYMVSA-N,71812122,404969068,PDWGVXJIDIRQME-DCNFBYMVSA-N,"(3R,3aS,9R,9aS,9bS)-3-((dimethylamino)methyl)-9-hydroxy-6,9-dimethyl-3,3a,4,5,7,8,9,9a-octahydroazuleno[4,5-b]furan-2(9bH)-one fumarate",,Treatment of glioblastoma multiforme,C0017636,Glioblastoma multiforme,11/08/2017,Designated,Not FDA Approved for Orphan Indication,,,,,Accendatech USA Incorporated|3730 Kirby Drive|Suite 1200|Houston|Texas|77098|United States
