_id,compound_id,inchl_key,generic_name,trade_name,orphan_designation,umls_id,parsed_text,designated_date,designation_status,approval_status,approved_labeled_indication,marketing_approval_date,exclusivity_end_date,exclusivity_protected_indication
ZRJBHWIHUMBLCN-QDEBKDIKSA-N,5912039,ZRJBHWIHUMBLCN-QDEBKDIKSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,6/15/20,Designated,Not FDA Approved for Orphan Indication,,,,
ZRJBHWIHUMBLCN-HNWKQCISSA-N,71308731,ZRJBHWIHUMBLCN-HNWKQCISSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,6/15/20,Designated,Not FDA Approved for Orphan Indication,,,,
ZRJBHWIHUMBLCN-JYXJEATCSA-N,44461111,ZRJBHWIHUMBLCN-JYXJEATCSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,6/15/20,Designated,Not FDA Approved for Orphan Indication,,,,
ZRJBHWIHUMBLCN-UHFFFAOYSA-N,1253,ZRJBHWIHUMBLCN-UHFFFAOYSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,6/15/20,Designated,Not FDA Approved for Orphan Indication,,,,
ZRJBHWIHUMBLCN-YQEJDHNASA-N,854026,ZRJBHWIHUMBLCN-YQEJDHNASA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,6/15/20,Designated,Not FDA Approved for Orphan Indication,,,,
ZRJBHWIHUMBLCN-ZUZCIYMTSA-N,449069,ZRJBHWIHUMBLCN-ZUZCIYMTSA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,6/15/20,Designated,Not FDA Approved for Orphan Indication,,,,
ZRJBHWIHUMBLCN-SEQYCRGISA-N,907504,ZRJBHWIHUMBLCN-SEQYCRGISA-N,(-)-huperzine A,,Treatment of Lennox-Gastaut Syndrome,C0238111,Lennox-Gastaut syndrome,6/15/20,Designated,Not FDA Approved for Orphan Indication,,,,
DVZQUMSQEGOYMX-UHFFFAOYSA-N,122540907,DVZQUMSQEGOYMX-UHFFFAOYSA-N,(1-hydroxy-2-oxopiperidin-3-yl)phosphonic acid,,Treatment of Glioblastoma,C0017636,Glioblastoma,8/9/18,Designated,Not FDA Approved for Orphan Indication,,,,
OEBIHOVSAMBXIB-SJKOYZFVSA-N,129103609,OEBIHOVSAMBXIB-SJKOYZFVSA-N,"(13E,14E,22R,6R)-35-fluoro-6-methyl-7-aza-1(5,3)-pyrazolo[1,5-a]pyrimidina-3(3,2)-pyridina-2(1,2)-pyrrolidinacyclooctaphan-8-one",,Treatment of solid tumors with neurotrophic tyrosine receptor kinase (NTRK)-fusion proteins,C0280100,solid tumors,9/24/18,Designated,Not FDA Approved for Orphan Indication,,,,
JQUBXCDDRXAMLF-IXPVHAAZSA-N,16735504,JQUBXCDDRXAMLF-IXPVHAAZSA-N,"(2R,3R,4S)-2-(2-chloro-6-(3-chlorobenzylamino)-9H-purin-9-yl)tetrahydrothiophene-3,4-diol",,Treatment of Primary Biliary Cholangitis,C0008312,Primary Biliary Cholangitis,2/1/21,Designated,Not FDA Approved for Orphan Indication,,,,
UFPFGVNKHCLJJO-SSKFGXFMSA-N,24737642,UFPFGVNKHCLJJO-SSKFGXFMSA-N,"(2S)-N-[(1S)-1-cyclohexyl-2-[(2S)-2-[4-(4-fluorobenzoyl)-1,3-thiazol-2-yl]pyrrolidin-1-yl]-2-oxoethyl]-2-(methylamino)propanamide",,Treatment of multiple myeloma,C0026764,Multiple Myeloma,6/28/17,Designated,Not FDA Approved for Orphan Indication,,,,
HCZQIIVHWYFIPW-UKKRHICBSA-N,9859470,HCZQIIVHWYFIPW-UKKRHICBSA-N,"(2S,3R,4R,5S)-2-(hydroxymethyl)-1-pentylpiperidine-3,4,5-triol",,Treatment of GM2 gangliosidosis,C0268274,GM2 Gangliosidosis,8/1/19,Designated,Not FDA Approved for Orphan Indication,,,,
PIBARDGJJAGJAJ-NQIIRXRSSA-N,118323590,PIBARDGJJAGJAJ-NQIIRXRSSA-N,"(2S,4R)-1-(2-(3-acetyl-5-(2-methylpyrimidin-5-yl)-1H-indazol-1-yl)acetyl)-N-(6-bromopyridin-2-yl)-4-fluoropyrrolidine-2-carboxamide",,Treatment of C3 glomerulopathy (C3G),C4521256,Glomerulopathy,12/14/17,Designated,Not FDA Approved for Orphan Indication,,,,
PDWGVXJIDIRQME-DCNFBYMVSA-N,71812122,PDWGVXJIDIRQME-DCNFBYMVSA-N,"(3R,3aS,9R,9aS,9bS)-3-((dimethylamino)methyl)-9-hydroxy-6,9-dimethyl-3,3a,4,5,7,8,9,9a-octahydroazuleno[4,5-b]furan-2(9bH)-one fumarate",,Treatment of glioblastoma multiforme,C0017636,Glioblastoma multiforme,11/8/17,Designated,Not FDA Approved for Orphan Indication,,,,
HWSLMIXAPNOWGU-AWEZNQCLSA-N,22869857,HWSLMIXAPNOWGU-AWEZNQCLSA-N,"(3S)-(+)-(5-chloro-2-methoxyphenyl)-1,3-dihydro-3-fluoro-6-(trifluoromethyl)-2H-indol-2-one",,Treatment of Fragile X Syndrome.,C0016667,Fragile X Syndrome,12/9/15,Designated,Not FDA Approved for Orphan Indication,,,,
UOKSXAOZBSWROR-DOELHFPHSA-N,146048056,UOKSXAOZBSWROR-DOELHFPHSA-N,(E)-N1-(3-(dimethylamino)propyl)-N8-hydroxy-2-((naphthalen-1-yloxy)methyl)oct-2-enediamide phosphate,,Treatment of Pancreatic cancer,C0235974,PANCREATIC CANCER,8/26/19,Designated,Not FDA Approved for Orphan Indication,,,,
XDAOLTSRNUSPPH-XMMPIXPASA-N,6480466,XDAOLTSRNUSPPH-XMMPIXPASA-N,"(R)-2-methyl-6-nitro-2-{4-[4-(4-trifluoromethoxyphenoxy)piperidin-1-yl]phenoxymethyl}-2,3-dihydroimidazo[2,1-b]oxazole",,Treatment of pulmonary tuberculosis.,C0041327,Pulmonary tuberculosis,7/12/07,Designated,Not FDA Approved for Orphan Indication,,,,
OLDWOVJAXRWCGT-FBHGDYMESA-N,124081779,OLDWOVJAXRWCGT-FBHGDYMESA-N,"(R)-6-(2-fluorophenyl)-N-(3-(2-((2-methoxyethyl)amino)ethyl)phenyl)-5,6-dihydrobenzo[h]quinazolin-2-amine dihydrochloride",,Treatment of cholangiocarcinoma.,C0206698,Cholangiocarcinoma,11/19/15,Designated,Not FDA Approved for Orphan Indication,,,,
GFVBDLIBPSGFDL-ZOWNYOTGSA-N,131801108,GFVBDLIBPSGFDL-ZOWNYOTGSA-N,(R)-Azasetron besylate,,Prevention of platinum-induced ototoxicity in pediatric patients,C0235280,Ototoxicity,8/16/17,Designated,Not FDA Approved for Orphan Indication,,,,
SJHNWSAWWOAWJH-MRXNPFEDSA-N,118224491,SJHNWSAWWOAWJH-MRXNPFEDSA-N,"(R)-N-(5-(3-hydroxypyrrolidin-1-yl)-2-morpholinooxazolo[4,5-b]pyridin-6-yl)-2-(2-methylpyridin-4-yl)oxazole-4-carboxamide",,Treatment of acute myeloid leukemia,C0023467,Acute myeloid leukemia,4/5/21,Designated,Not FDA Approved for Orphan Indication,,,,
FSVJFNAIGNNGKK-KRWDZBQOSA-N,445900,FSVJFNAIGNNGKK-KRWDZBQOSA-N,(R)-praziquantel,,Treatment of schistosomiasis,C0036323,Schistosomiasis,6/27/17,Designated,Not FDA Approved for Orphan Indication,,,,
KXMZDGSRSGHMMK-VWLOTQADSA-N,46215462,KXMZDGSRSGHMMK-VWLOTQADSA-N,"(S)-1-(6,7-Dihydro-5H-benzo[6,7]cyclohepta[1,2-c]pyridazin-3-yl)-N3-(7-(pyrrolidin-1-yl)-6,7,8,9-tetrahydro-5H-benzo[7]annulen-2-yl)-1H-1,2,4-triazole-3,5-diamine",,Treatment of acute myeloid leukemia,C0023467,Acute myeloid leukemia,11/5/14,Designated,Not FDA Approved for Orphan Indication,,,,
QUMWKKVIZAIAHU-LBPRGKRZSA-N,70675172,QUMWKKVIZAIAHU-LBPRGKRZSA-N,"(S)-2-(1-((6-amino-5-cyanopyrimidin-4-yl)amino)ethyl)-4-oxo-3-phenyl-3,4-dihydropyrrolo[2,1-f][1,2,4]triazine-5-carbonitrile",,Treatment of pemphigus vulgaris,C0030809,Pemphigus Vulgaris,1/26/15,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
HVFWCHDZDIRYBZ-MQZJHDQISA-N,72710874,HVFWCHDZDIRYBZ-MQZJHDQISA-N,"(S)-6-hydroxy-2,5,7,8-tetramethyl-N-((R)-piperidin-3-yl)chroman-2-carboxamide hydrochloride",,Treatment of inherited mitochondrial respiratory chain diseases,C1325653,mitochondrial respiratory chain,11/17/14,Designated,Not FDA Approved for Orphan Indication,,,,
RSIWALKZYXPAGW-NSHDSACASA-N,58111426,RSIWALKZYXPAGW-NSHDSACASA-N,"(S)-7-(1-(9H-purin-6-ylamino)ethyl)-6-(3-fluorophenyl)-3-methyl-5H-thiazolo[3,2-a]pyrimidin-5-one",,Treatment of Hodgkin lymphoma,C0019829,Hodgkin Lymphoma,4/29/15,Designated,Not FDA Approved for Orphan Indication,,,,
MGTLGARADRIKNV-GFCCVEGCSA-N,56846912,MGTLGARADRIKNV-GFCCVEGCSA-N,(s)-perillyl alcohol temozolomide carbamate,,Treatment of intracranially located metastases from breast cancer,"C0027627,C0678222","Metastases , Breast cancer",2/28/17,Designated,Not FDA Approved for Orphan Indication,,,,
MGTLGARADRIKNV-GFCCVEGCSA-N,56846912,MGTLGARADRIKNV-GFCCVEGCSA-N,(s)-perillyl alcohol temozolomide carbamate,,Treatment of nasopharyngeal carcinoma,C2931822,Nasopharyngeal carcinoma,7/27/17,Designated,Not FDA Approved for Orphan Indication,,,,
NEBUOXBYNAHKFV-UHFFFAOYSA-N,51357549,NEBUOXBYNAHKFV-UHFFFAOYSA-N,"1'-{[5-(trifluoromethyl)-2-furyl]methyl}spiro[furo[2,3-f][1,3]benzodioxole-7,3'-indol]-2'(1'H)-one",,Treatment of erythromelalgia,C0014804,Erythromelalgia,11/19/12,Designated,Not FDA Approved for Orphan Indication,,,,
AAFJXZWCNVJTMK-GUCUJZIJSA-N,15942827,AAFJXZWCNVJTMK-GUCUJZIJSA-N,"1,2:5,6-dianhydrogalactitol",,Treatment of ovarian cancer.,C4721610,Ovarian Cancer,4/19/16,Designated,Not FDA Approved for Orphan Indication,,,,
AAFJXZWCNVJTMK-GUCUJZIJSA-N,15942827,AAFJXZWCNVJTMK-GUCUJZIJSA-N,"1,2:5,6-dianhydrogalactitol",,Treatment of medulloblastoma.,C0025149,Medulloblastoma,3/10/16,Designated,Not FDA Approved for Orphan Indication,,,,
SKDNPCDRIUQGAL-XTJCVSPVSA-N,89584363,SKDNPCDRIUQGAL-XTJCVSPVSA-N,"1-(((Z)-hexadec-1-en-1-yl)oxy)-3-((2-oxido-1,3,2-oxazaphospholidin-2-yl)oxy)propan-2-yl (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",,Treatment of Rhizomelic Chondrodysplasia Punctata,C0282529,Rhizomelic chondrodysplasia punctata,8/8/19,Designated,Not FDA Approved for Orphan Indication,,,,
TZOWVYPYWJLZTK-IMTBSYHQSA-N,57524523,TZOWVYPYWJLZTK-IMTBSYHQSA-N,1-(2-chlorophenyl)-1-(S)-hydroxy-2-(S)-carbamoyloxy-propane,,Treatment of infantile spasms,C3887898,Infantile spasms,3/20/17,Designated,Not FDA Approved for Orphan Indication,,,,
TZOWVYPYWJLZTK-IMTBSYHQSA-N,57524523,TZOWVYPYWJLZTK-IMTBSYHQSA-N,1-(2-chlorophenyl)-1-(S)-hydroxy-2-(S)-carbamoyloxy-propane,,Treatment of status epilepticus,C0038220,Status Epilepticus,7/7/16,Designated,Not FDA Approved for Orphan Indication,,,,
RDALZZCKQFLGJP-UHFFFAOYSA-N,73051434,RDALZZCKQFLGJP-UHFFFAOYSA-N,"1-(4-(benzylamino)-7,8-dihydro-5H-pyrano[4,3-d]pyrimidin-2-yl)-2-methyl-1H-indole-4-carboxamide",,Treatment of multiple myeloma,C0026764,Multiple Myeloma,7/8/15,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
VCPMZDWBEWTGNW-UHFFFAOYSA-N,4988454,VCPMZDWBEWTGNW-UHFFFAOYSA-N,"1-(4-benzhydrylpiperazin-1-yl)-3,3-diphenylpropan-1-one",,Management of postherpetic neuralgia,C0032768,Postherpetic neuralgia,9/26/13,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
OQDQIFQRNZIEEJ-UHFFFAOYSA-N,68677842,OQDQIFQRNZIEEJ-UHFFFAOYSA-N,1-(6-benzothiazolylsulfonyl)-5-chloro-1H-indole-2-butanoic acid,,Treatment of systemic sclerosis,C0036421,Systemic sclerosis,3/31/15,Designated,Not FDA Approved for Orphan Indication,,,,
LOLPPWBBNUVNQZ-UHFFFAOYSA-N,135398495,LOLPPWBBNUVNQZ-UHFFFAOYSA-N,1-Cyclopropyl-3-[3-(5-morpholin-4-ylmethyl-1H-benzoimidazol-2-yl)-1H-pyrazol-4-yl]-urea,,Treatment of acute myeloid leukemia,C0023467,Acute myeloid leukemia,11/12/09,Designated,Not FDA Approved for Orphan Indication,,,,
ZOAIEFWMQLYMTF-PEHXSSJGSA-N,11570943,ZOAIEFWMQLYMTF-PEHXSSJGSA-N,18-(p-[124I]-iodophenyl)octadecyl phosphocholine,,Diagnostic for the management of glioma,C0017638,Glioma,4/30/14,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
AUFUWRKPQLGTGF-QRMSVCKNSA-N,60004399,AUFUWRKPQLGTGF-QRMSVCKNSA-N,"2',3',5'-tri-o-acetyluridine",,Treatment of mitochondrial disease,C0751651,Mitochondrial disease,1/13/03,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
AUFUWRKPQLGTGF-ZRJCITRHSA-N,6547277,AUFUWRKPQLGTGF-ZRJCITRHSA-N,"2',3',5'-tri-o-acetyluridine",,Treatment of mitochondrial disease,C0751651,Mitochondrial disease,1/13/03,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
AUFUWRKPQLGTGF-ZZVYKPCYSA-N,990800,AUFUWRKPQLGTGF-ZZVYKPCYSA-N,"2',3',5'-tri-o-acetyluridine",,Treatment of mitochondrial disease,C0751651,Mitochondrial disease,1/13/03,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
AUFUWRKPQLGTGF-RWDKGTSBSA-N,44629990,AUFUWRKPQLGTGF-RWDKGTSBSA-N,"2',3',5'-tri-o-acetyluridine",,Treatment of mitochondrial disease,C0751651,Mitochondrial disease,1/13/03,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
AUFUWRKPQLGTGF-UHFFFAOYSA-N,254731,AUFUWRKPQLGTGF-UHFFFAOYSA-N,"2',3',5'-tri-o-acetyluridine",,Treatment of mitochondrial disease,C0751651,Mitochondrial disease,1/13/03,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
AUFUWRKPQLGTGF-FMKGYKFTSA-N,20058,AUFUWRKPQLGTGF-FMKGYKFTSA-N,"2',3',5'-tri-o-acetyluridine",,Treatment of mitochondrial disease,C0751651,Mitochondrial disease,1/13/03,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
CKTSBUTUHBMZGZ-SHYZEUOFSA-N,13711,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,2'-deoxycytidine,,As a host-protective agent in the treatment of acute myelogenous leukemia.,C0023467,Acute myelogenous leukemia,9/9/96,Designated,Not FDA Approved for Orphan Indication,,,,
VUAXHMVRKOTJKP-UHFFFAOYSA-N,11684,VUAXHMVRKOTJKP-UHFFFAOYSA-N,"2,2-dimethylbutanoic acid",,Treatment of propionic acidemia,C0268579,Propionic acidemia,12/10/20,Designated,Not FDA Approved for Orphan Indication,,,,
VUAXHMVRKOTJKP-UHFFFAOYSA-N,11684,VUAXHMVRKOTJKP-UHFFFAOYSA-N,"2,2-dimethylbutanoic acid",,Treatment of methylmalonic acidemia,C0268583,Methylmalonic acidemia,12/10/20,Designated,Not FDA Approved for Orphan Indication,,,,
UFBJCMHMOXMLKC-UHFFFAOYSA-N,1493,UFBJCMHMOXMLKC-UHFFFAOYSA-N,"2,4 dinitrophenol",,Treatment of Amyotrophic Lateral Sclerosis,C0002736,Amyotrophic Lateral Sclerosis,9/8/20,Designated,Not FDA Approved for Orphan Indication,,,,
UFBJCMHMOXMLKC-UHFFFAOYSA-N,1493,UFBJCMHMOXMLKC-UHFFFAOYSA-N,"2,4-dinitrophenol",,Treatment of Huntington disease,C0020179,Huntington Disease,2/11/19,Designated,Not FDA Approved for Orphan Indication,,,,
OMPATGZMNFWVOH-UHFFFAOYSA-N,24986824,OMPATGZMNFWVOH-UHFFFAOYSA-N,"2-(3,5-difluoro-3'-methoxybiphenyl-4-ylamino)nicotinic acid",,Treatment of acute myeloid leukemia,C0023467,Acute myeloid leukemia,8/16/18,Designated,Not FDA Approved for Orphan Indication,,,,
XLXXBYJYWULGGD-UHFFFAOYSA-N,69619483,XLXXBYJYWULGGD-UHFFFAOYSA-N,"2-(4-(2,4-dichlorophenethyl)-3,6-dioxo-1-(2-(thiophen-2-yl)ethyl)piperazin-2-yl)-N-(2-(5-methoxy-1H-indol-3-yl)ethyl) acetamide",,Prevention of platinum-induced ototoxicity in pediatric patients,C0235280,Ototoxicity,12/14/17,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
ORQGHAJIWGGFJK-UHFFFAOYSA-N,132260161,ORQGHAJIWGGFJK-UHFFFAOYSA-N,"2-(4-oxo-3-((5-(trifluoromethyl)benzo[d]thiazol-2-yl)methyl)-3,4-dihydrothieno[3,4-d]pyridazin-1-yl)acetic acid",,Treatment of Galactosemia,C0016952,Galactosemia,5/23/19,Designated,Not FDA Approved for Orphan Indication,,,,
ORQGHAJIWGGFJK-UHFFFAOYSA-N,132260161,ORQGHAJIWGGFJK-UHFFFAOYSA-N,"2-(4-oxo-3-((5-(trifluoromethyl)benzo[d]thiazol-2-yl)methyl)-3,4-dihydrothieno[3,4-d]pyridazin-1-yl)acetic acid",,Treatment of phosphomannomutase 2 deficiency,C0349653,Phosphomannomutase 2 deficiency,9/21/20,Designated,Not FDA Approved for Orphan Indication,,,,
XRPSUWYWZUQALB-UHFFFAOYSA-N,86298861,XRPSUWYWZUQALB-UHFFFAOYSA-N,2-(7-ethoxy-4-(3-fluorophenyl)-1-oxophthalazin-2(1H)-yl)-N-methyl-N-(2-methylbenzo[d]oxazol-6-yl)acetamide,,Treatment of cystic fibrosis,C0010674,Cystic Fibrosis,5/13/15,Designated,Not FDA Approved for Orphan Indication,,,,
HYHJFNXFVPGMBI-UHFFFAOYSA-N,100773,HYHJFNXFVPGMBI-UHFFFAOYSA-N,2-chloroethyl-3-sarcosinamide-1-nitrosourea,,Treatment for malignant gliomas,C0555198,malignant gliomas,8/3/01,Designated,Not FDA Approved for Orphan Indication,,,,
HYHJFNXFVPGMBI-UHFFFAOYSA-N,100773,HYHJFNXFVPGMBI-UHFFFAOYSA-N,2-chloroethyl-3-sarcosinamide-1-nitrosourea,,Treatment for malignant glioma,C0555198,Malignant Glioma,11/15/01,Designated,Not FDA Approved for Orphan Indication,,,,
GOWDQYRMBCOOJR-JHMJKTBASA-M,145711124,GOWDQYRMBCOOJR-JHMJKTBASA-M,"2-hydroxy-N,N,N-trimethylethan-1-aminium (Z)-4-(5-((3-benzyl-4-oxo-2-thioxothiazolidin-5-ylidene)methyl)furan-2-yl)benzoate",,Treatment of Pancreatic Cancer,C0235974,PANCREATIC CANCER,9/11/19,Designated,Not FDA Approved for Orphan Indication,,,,
WWVANQJRLPIHNS-ZKWXMUAHSA-N,128878,WWVANQJRLPIHNS-ZKWXMUAHSA-N,2-iminobiotin,,Treatment of perinatal asphyxia.,C0559477,Perinatal asphyxia,2/24/09,Designated,Not FDA Approved for Orphan Indication,,,,
AJFWITSBVLLDCC-UHFFFAOYSA-N,91820639,AJFWITSBVLLDCC-UHFFFAOYSA-N,"2-isopropyl-3H-naphtho[1,2-d]imidazole-4,5-dione",,Treatment of inherited mitochondrial respiratory chain disease,"C0012634,C1325653","Disease , mitochondrial respiratory chain",4/16/18,Designated,Not FDA Approved for Orphan Indication,,,,
CQOQDQWUFQDJMK-SSTWWWIQSA-N,66414,CQOQDQWUFQDJMK-SSTWWWIQSA-N,2-methoxyestradiol,,Treatment of ovarian cancer,C4721610,Ovarian Cancer,4/4/05,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
CQOQDQWUFQDJMK-SSTWWWIQSA-N,66414,CQOQDQWUFQDJMK-SSTWWWIQSA-N,2-methoxyestradiol,,Treatment of multiforme glioblastoma,C0017636,Glioblastoma,6/16/06,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
CQOQDQWUFQDJMK-SSTWWWIQSA-N,66414,CQOQDQWUFQDJMK-SSTWWWIQSA-N,2-methoxyestradiol,,Treatment of multiple myeloma,C0026764,Multiple Myeloma,7/10/01,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,
CQOQDQWUFQDJMK-SSTWWWIQSA-N,66414,CQOQDQWUFQDJMK-SSTWWWIQSA-N,2-methoxyestradiol,,Treatment of pulmonary arterial hypertension,C3203102,PULMONARY ARTERIAL HYPERTENSION,4/11/05,Designated,Not FDA Approved for Orphan Indication,,,,
WTPZYIZNHQOCOQ-VQIWEWKSSA-N,78324948,WTPZYIZNHQOCOQ-VQIWEWKSSA-N,2-{4-[(9R)-9-Hydroxy-2-(3-hydroxy-3-methylbutyloxy)-9-(trifluoromethyl)-9H-fluoren-4-yl]-1H-pyrazol-1-yl}-2-methylpropanamide monohydrate,,Treatment of pulmonary arterial hypertension,C3203102,PULMONARY ARTERIAL HYPERTENSION,1/23/18,Designated,Not FDA Approved for Orphan Indication,,,,
NKDFYOWSKOHCCO-YPVLXUMRSA-N,5459840,NKDFYOWSKOHCCO-YPVLXUMRSA-N,20-hydroxyecdysone,,Treatment of Duchenne Muscular Dystrophy,C0013264,DUCHENNE MUSCULAR DYSTROPHY,5/10/18,Designated,Not FDA Approved for Orphan Indication,,,,
FCKJYANJHNLEEP-SRLFHJKTSA-N,6434253,FCKJYANJHNLEEP-SRLFHJKTSA-N,"24,25 dihydroxycholecalciferol",,Treatment of uremic osteodystrophy.,C0543799,uremic osteodystrophy,2/27/87,Designated,Not FDA Approved for Orphan Indication,,,,
XMAYWYJOQHXEEK-ZEQKJWHPSA-N,47576,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,"2S,4R ketoconazole",,Treatment of endogenous Cushing's syndrome,C0010481,Cushing's Syndrome,3/9/12,Designated,Not FDA Approved for Orphan Indication,,,,
